,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,Mean Points
ReluctantAgent,14014.0,1500.0,6754.0,1522.0,0.0,13964.0,1500.0,6542.333333333333
StubbornAgent,14014.0,0.0,7182.0,28.0,3500.0,13958.0,14.0,6449.333333333333
FishingChip,14014.0,6.0,6916.0,34.0,3500.0,13958.0,0.0,6404.666666666667
PunitiveAgent,14014.0,12.0,6807.0,0.0,3498.0,13970.0,26.0,6387.833333333333
CompromisingAgent,0.0,6006.0,3144.0,6006.0,6006.0,24.0,6006.0,4532.0
AntiPunitiveAgent,56.0,5982.0,3080.0,6010.0,5996.0,0.0,5982.0,4517.666666666667
Random,7336.0,3078.0,0.0,2923.0,3306.0,7120.0,2964.0,4454.5
