,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,Mean Points
ReluctantAgent,14014.0,1500.0,6946.0,1522.0,0.0,13964.0,1500.0,6574.333333333333
StubbornAgent,14014.0,0.0,7287.0,28.0,3500.0,13958.0,14.0,6466.833333333333
FishingChip,14014.0,6.0,6937.0,34.0,3500.0,13958.0,0.0,6408.166666666667
PunitiveAgent,14014.0,12.0,6835.0,0.0,3498.0,13970.0,26.0,6392.5
AntiPunitiveAgent,56.0,5982.0,3107.0,6010.0,5996.0,0.0,5982.0,4522.166666666667
CompromisingAgent,0.0,6006.0,3018.0,6006.0,6006.0,24.0,6006.0,4511.0
Random,7042.0,3123.0,0.0,2935.0,3314.0,7223.0,2973.0,4435.0
