,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,Mean Points
ReluctantAgent,14014.0,1500.0,6590.0,1522.0,0.0,13964.0,1500.0,6515.0
FishingChip,14014.0,6.0,7147.0,34.0,3500.0,13958.0,0.0,6443.166666666667
StubbornAgent,14014.0,0.0,7133.0,28.0,3500.0,13958.0,14.0,6441.166666666667
PunitiveAgent,14014.0,12.0,6761.0,0.0,3498.0,13970.0,26.0,6380.166666666667
CompromisingAgent,0.0,6006.0,3090.0,6006.0,6006.0,24.0,6006.0,4523.0
AntiPunitiveAgent,56.0,5982.0,3062.0,6010.0,5996.0,0.0,5982.0,4514.666666666667
Random,7210.0,3057.0,0.0,2909.0,3190.0,7078.0,3063.0,4417.833333333333
