,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,Mean Points
ReluctantAgent,7014.0,750.0,3251.0,772.0,0.0,6964.0,750.0,3250.1666666666665
StubbornAgent,7014.0,0.0,3612.0,28.0,1750.0,6958.0,14.0,3229.3333333333335
FishingChip,7014.0,6.0,3430.0,34.0,1750.0,6958.0,0.0,3198.6666666666665
PunitiveAgent,7014.0,12.0,3318.0,0.0,1748.0,6970.0,26.0,3181.3333333333335
AntiPunitiveAgent,56.0,2982.0,1603.0,3010.0,2996.0,0.0,2982.0,2271.5
CompromisingAgent,0.0,3006.0,1518.0,3006.0,3006.0,24.0,3006.0,2261.0
Random,3542.0,1548.0,0.0,1422.0,1599.0,3687.0,1470.0,2211.3333333333335
