,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,Mean Points
ReluctantAgent,7014.0,750.0,3463.0,772.0,0.0,6964.0,750.0,3285.5
PunitiveAgent,7014.0,12.0,3607.0,0.0,1748.0,6970.0,26.0,3229.5
FishingChip,7014.0,6.0,3542.0,34.0,1750.0,6958.0,0.0,3217.3333333333335
StubbornAgent,7014.0,0.0,3514.0,28.0,1750.0,6958.0,14.0,3213.0
CompromisingAgent,0.0,3006.0,1545.0,3006.0,3006.0,24.0,3006.0,2265.5
AntiPunitiveAgent,56.0,2982.0,1493.0,3010.0,2996.0,0.0,2982.0,2253.1666666666665
Random,3605.0,1506.0,0.0,1563.0,1667.0,3417.0,1518.0,2212.6666666666665
