,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,Mean Points
ReluctantAgent,14014.0,1500.0,6683.0,1522.0,0.0,13964.0,1500.0,6530.5
PunitiveAgent,14014.0,12.0,7024.0,0.0,3498.0,13970.0,26.0,6424.0
StubbornAgent,14014.0,0.0,6972.0,28.0,3500.0,13958.0,14.0,6414.333333333333
FishingChip,14014.0,6.0,6905.0,34.0,3500.0,13958.0,0.0,6402.833333333333
CompromisingAgent,0.0,6006.0,3108.0,6006.0,6006.0,24.0,6006.0,4526.0
AntiPunitiveAgent,56.0,5982.0,3078.0,6010.0,5996.0,0.0,5982.0,4517.333333333333
Random,7252.0,2988.0,0.0,3016.0,3247.0,7142.0,2965.0,4435.0
