,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,Mean Points
ReluctantAgent,14014.0,1500.0,6758.0,1522.0,0.0,13964.0,1500.0,6543.0
PunitiveAgent,14014.0,12.0,7413.0,0.0,3498.0,13970.0,26.0,6488.833333333333
FishingChip,14014.0,6.0,7329.0,34.0,3500.0,13958.0,0.0,6473.5
StubbornAgent,14014.0,0.0,7119.0,28.0,3500.0,13958.0,14.0,6438.833333333333
CompromisingAgent,0.0,6006.0,3009.0,6006.0,6006.0,24.0,6006.0,4509.5
AntiPunitiveAgent,56.0,5982.0,2956.0,6010.0,5996.0,0.0,5982.0,4497.0
Random,7021.0,3051.0,0.0,3177.0,3182.0,6884.0,3141.0,4409.333333333333
