,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,Mean Points
ReluctantAgent,7014.0,750.0,3159.0,772.0,0.0,6964.0,750.0,3234.8333333333335
PunitiveAgent,7014.0,12.0,3594.0,0.0,1748.0,6970.0,26.0,3227.3333333333335
FishingChip,7014.0,6.0,3577.0,34.0,1750.0,6958.0,0.0,3223.1666666666665
StubbornAgent,7014.0,0.0,3332.0,28.0,1750.0,6958.0,14.0,3182.6666666666665
AntiPunitiveAgent,56.0,2982.0,1544.0,3010.0,2996.0,0.0,2982.0,2261.6666666666665
CompromisingAgent,0.0,3006.0,1509.0,3006.0,3006.0,24.0,3006.0,2259.5
Random,3521.0,1428.0,0.0,1546.0,1571.0,3536.0,1533.0,2189.1666666666665
