,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,Mean Points
CompromisingAgent,0.0,14014.0,6811.0,14014.0,14014.0,56.0,14014.0,10487.166666666666
AntiPunitiveAgent,24.0,13958.0,6666.0,13970.0,13964.0,0.0,13958.0,10423.333333333334
Random,2919.0,7378.0,0.0,7012.0,6913.0,2874.0,7028.0,5687.333333333333
ReluctantAgent,6006.0,3500.0,3317.0,3498.0,0.0,5996.0,3500.0,4302.833333333333
StubbornAgent,6006.0,0.0,3162.0,12.0,1500.0,5982.0,6.0,2778.0
PunitiveAgent,6006.0,28.0,3028.0,0.0,1522.0,6010.0,34.0,2771.3333333333335
FishingChip,6006.0,14.0,3012.0,26.0,1500.0,5982.0,0.0,2756.6666666666665
