,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,Mean Points
StubbornAgent,7007.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.8333333333333
CompromisingAgent,0.0,3003.0,0.0,0.0,0.0,0.0,0.0,500.5
Random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PunitiveAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ReluctantAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AntiPunitiveAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FishingChip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
