,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,FicticiousPlay,Exponential,ReluctantMoodAgent,PunitiveMoodAgent,MysteryAgent,ChippingFish,Mean Points
FicticiousPlay,12652.0,7262.0,5608.0,7323.0,7109.0,12660.0,7335.0,0.0,7114.0,7218.0,6237.0,3742.0,12505.0,8063.75
Exponential,10492.0,6313.0,5572.0,6280.0,6268.0,9265.0,6362.0,7175.0,0.0,6488.0,6317.0,2411.0,9484.0,6868.916666666667
FishingChip,11732.0,2323.0,7350.0,2313.0,4627.0,11690.0,0.0,9240.0,6998.0,4197.0,2246.0,4500.0,11669.0,6573.75
ReluctantAgent,11774.0,2919.0,6955.0,2957.0,0.0,11990.0,3027.0,9378.0,6883.0,2205.0,2992.0,5796.0,11620.0,6541.333333333333
StubbornAgent,11795.0,0.0,7042.0,2331.0,4774.0,11508.0,2198.0,9478.0,7105.0,4137.0,2387.0,3451.0,11676.0,6490.166666666667
PunitiveAgent,11697.0,2403.0,6625.0,0.0,4717.0,11492.0,2557.0,9379.0,6713.0,4261.0,2453.0,3474.0,11728.0,6458.25
PunitiveMoodAgent,11760.0,2287.0,6957.0,2315.0,4639.0,11697.0,2414.0,8453.0,7044.0,4175.0,0.0,3344.0,11550.0,6386.25
ReluctantMoodAgent,11641.0,2289.0,6956.0,2469.0,3883.0,11371.0,2523.0,9203.0,6962.0,0.0,2151.0,3822.0,11609.0,6239.916666666667
Random,6790.0,3621.0,0.0,3561.0,3883.0,6711.0,3622.0,4940.0,4971.0,3831.0,3659.0,4691.0,6187.0,4705.583333333333
MysteryAgent,4478.0,3817.0,5289.0,3876.0,5084.0,4555.0,4132.0,5225.0,3953.0,4404.0,3896.0,0.0,4593.0,4441.833333333333
ChippingFish,1006.0,5086.0,2966.0,4994.0,4978.0,1056.0,5001.0,3880.0,4082.0,4999.0,4960.0,1494.0,0.0,3708.5
AntiPunitiveAgent,1078.0,4936.0,3152.0,4930.0,5000.0,0.0,4935.0,4078.0,3933.0,5012.0,4889.0,1472.0,1056.0,3705.9166666666665
CompromisingAgent,0.0,4947.0,3129.0,5088.0,4974.0,981.0,5085.0,3927.0,3060.0,4998.0,4947.0,1536.0,1047.0,3643.25
