,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,FicticiousPlay,Exponential,ReluctantMoodAgent,PunitiveMoodAgent,MysteryAgent,ChippingFish,Mean Points
FicticiousPlay,12644.0,7340.0,5494.0,7354.0,7245.0,12687.0,7471.0,0.0,7483.0,7243.0,6252.0,3684.0,12557.0,8121.166666666667
Exponential,10454.0,6312.0,5649.0,6241.0,6264.0,10374.0,6311.0,5224.0,0.0,6203.0,5968.0,2203.0,10104.0,6775.583333333333
FishingChip,11543.0,2372.0,7105.0,2141.0,4641.0,11669.0,0.0,9219.0,7222.0,4204.0,2274.0,4595.0,11781.0,6563.833333333333
ReluctantAgent,11704.0,3001.0,6641.0,2964.0,0.0,11570.0,3019.0,9243.0,6831.0,2322.0,3142.0,5997.0,11476.0,6492.5
StubbornAgent,11781.0,0.0,7315.0,2401.0,4676.0,11620.0,2247.0,9086.0,7315.0,4200.0,2149.0,3556.0,11494.0,6486.666666666667
PunitiveAgent,11641.0,2403.0,7125.0,0.0,4730.0,11447.0,2337.0,9208.0,7265.0,4178.0,2334.0,3562.0,11581.0,6484.25
PunitiveMoodAgent,11550.0,2288.0,6967.0,2355.0,4863.0,11668.0,2283.0,8359.0,7066.0,4209.0,0.0,3580.0,11875.0,6421.916666666667
ReluctantMoodAgent,11690.0,2423.0,6609.0,2527.0,3680.0,11700.0,2348.0,9133.0,6906.0,0.0,2555.0,3588.0,11648.0,6233.916666666667
Random,6501.0,3787.0,0.0,3772.0,3853.0,6249.0,3672.0,5057.0,4811.0,3681.0,3719.0,4965.0,6229.0,4691.333333333333
MysteryAgent,4490.0,4016.0,5090.0,3964.0,5058.0,4520.0,4192.0,5237.0,3878.0,4222.0,3938.0,0.0,4417.0,4418.5
AntiPunitiveAgent,1039.0,5035.0,3157.0,5037.0,5016.0,0.0,5032.0,4150.0,3073.0,5072.0,5011.0,1548.0,1087.0,3688.0833333333335
CompromisingAgent,0.0,4974.0,3045.0,4983.0,5025.0,1032.0,5052.0,4056.0,3210.0,4986.0,4983.0,1539.0,1071.0,3663.0
ChippingFish,1038.0,4976.0,2907.0,5074.0,5008.0,898.0,5013.0,3984.0,3219.0,4980.0,5059.0,1560.0,0.0,3643.0
