,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,FicticiousPlay,Exponential,ReluctantMoodAgent,PunitiveMoodAgent,MysteryAgent,ChippingFish,Mean Points
FicticiousPlay,6412.0,3667.0,2803.0,3606.0,3634.0,6204.0,3619.0,0.0,3800.0,3594.0,3104.0,1748.0,6316.0,4042.25
Exponential,5209.0,3197.0,1761.0,3053.0,3142.0,4689.0,3119.0,2719.0,0.0,3117.0,3280.0,1644.0,4667.0,3299.75
PunitiveMoodAgent,5943.0,1143.0,3729.0,1350.0,2330.0,5722.0,1248.0,4441.0,3678.0,2263.0,0.0,1696.0,5918.0,3288.4166666666665
FishingChip,5698.0,1109.0,3576.0,1252.0,2352.0,5838.0,0.0,4844.0,3576.0,2017.0,1158.0,2122.0,5831.0,3281.0833333333335
StubbornAgent,5950.0,0.0,3346.0,1253.0,2422.0,5873.0,1316.0,4585.0,3584.0,2079.0,1323.0,1561.0,5873.0,3263.75
PunitiveAgent,5852.0,1174.0,3572.0,0.0,2417.0,5850.0,1059.0,4777.0,3520.0,2032.0,1123.0,1766.0,5813.0,3246.25
ReluctantAgent,5705.0,1523.0,3447.0,1427.0,0.0,5837.0,1555.0,4601.0,3505.0,1255.0,1478.0,2731.0,5806.0,3239.1666666666665
ReluctantMoodAgent,5908.0,1171.0,3618.0,1188.0,1803.0,5705.0,1252.0,4607.0,3688.0,0.0,1072.0,1715.0,5697.0,3118.6666666666665
Random,3337.0,1825.0,0.0,1765.0,1986.0,3154.0,1872.0,2424.0,2938.0,1964.0,1964.0,2496.0,3140.0,2405.4166666666665
MysteryAgent,2365.0,1716.0,2358.0,1957.0,2621.0,2223.0,2059.0,2773.0,1635.0,2072.0,1827.0,0.0,2284.0,2157.5
AntiPunitiveAgent,579.0,2487.0,1587.0,2578.0,2502.0,0.0,2445.0,1985.0,2025.0,2556.0,2549.0,793.0,529.0,1884.5833333333333
ChippingFish,562.0,2502.0,1458.0,2569.0,2449.0,537.0,2463.0,2066.0,2040.0,2498.0,2474.0,747.0,0.0,1863.75
CompromisingAgent,0.0,2526.0,1602.0,2508.0,2559.0,555.0,2529.0,2046.0,1560.0,2520.0,2508.0,720.0,570.0,1850.25
