,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,FicticiousPlay,Exponential,ReluctantMoodAgent,PunitiveMoodAgent,MysteryAgent,ChippingFish,Mean Points
FicticiousPlay,6304.0,3683.0,2731.0,3670.0,3697.0,6235.0,3707.0,0.0,3430.0,3631.0,3109.0,1858.0,6321.0,4031.3333333333335
Exponential,5289.0,3234.0,3238.0,3203.0,3002.0,5058.0,3093.0,3970.0,0.0,3204.0,3114.0,1370.0,5185.0,3580.0
FishingChip,5985.0,1130.0,3384.0,1231.0,2261.0,5852.0,0.0,4578.0,3685.0,2196.0,1189.0,2248.0,5817.0,3296.3333333333335
PunitiveAgent,5859.0,1115.0,3681.0,0.0,2336.0,5763.0,1230.0,4710.0,3471.0,2088.0,1134.0,1640.0,5799.0,3235.5
StubbornAgent,5866.0,0.0,3458.0,1085.0,2247.0,5866.0,1120.0,4620.0,3542.0,2149.0,1057.0,1750.0,5796.0,3213.0
ReluctantAgent,5712.0,1514.0,3311.0,1479.0,0.0,5746.0,1528.0,4467.0,3451.0,1028.0,1452.0,2954.0,5883.0,3210.4166666666665
PunitiveMoodAgent,5873.0,1105.0,3307.0,1203.0,2382.0,5725.0,1169.0,4209.0,3274.0,2092.0,0.0,1553.0,5931.0,3151.9166666666665
ReluctantMoodAgent,5782.0,1198.0,3487.0,1217.0,1801.0,5708.0,1261.0,4590.0,3561.0,0.0,1221.0,1746.0,5684.0,3104.6666666666665
Random,3231.0,1792.0,0.0,1880.0,1897.0,3210.0,1836.0,2570.0,2239.0,1867.0,1841.0,2295.0,3084.0,2311.8333333333335
MysteryAgent,2245.0,1979.0,2593.0,1949.0,2634.0,2107.0,2156.0,2684.0,1960.0,2061.0,1755.0,0.0,2184.0,2192.25
ChippingFish,568.0,2499.0,1484.0,2469.0,2535.0,537.0,2526.0,2059.0,1539.0,2496.0,2526.0,789.0,0.0,1835.5833333333333
AntiPunitiveAgent,596.0,2500.0,1583.0,2506.0,2562.0,0.0,2452.0,1941.0,1485.0,2413.0,2512.0,817.0,517.0,1823.6666666666667
CompromisingAgent,0.0,2463.0,1464.0,2484.0,2514.0,552.0,2466.0,1956.0,1596.0,2463.0,2493.0,771.0,477.0,1808.25
