,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,FicticiousPlay,Exponential,ReluctantMoodAgent,PunitiveMoodAgent,MysteryAgent,ChippingFish,Mean Points
FicticiousPlay,12640.0,7426.0,5594.0,7262.0,7230.0,12583.0,7315.0,0.0,7748.0,7263.0,6247.0,3686.0,12552.0,8128.833333333333
Exponential,10442.0,6316.0,5747.0,6235.0,6285.0,10428.0,6410.0,5424.0,0.0,6380.0,6327.0,2897.0,10330.0,6935.083333333333
FishingChip,11760.0,2295.0,6951.0,2467.0,4697.0,11739.0,0.0,9366.0,7253.0,4202.0,2463.0,4584.0,11571.0,6612.333333333333
PunitiveAgent,11718.0,2273.0,7002.0,0.0,4769.0,11559.0,2504.0,9662.0,6981.0,4233.0,2253.0,3736.0,11752.0,6536.833333333333
ReluctantAgent,11501.0,3095.0,6782.0,3077.0,0.0,11577.0,3058.0,9125.0,7096.0,2063.0,2981.0,5557.0,11704.0,6468.0
StubbornAgent,11711.0,0.0,6965.0,2366.0,4592.0,11466.0,2401.0,9366.0,6986.0,4158.0,2338.0,3598.0,11522.0,6455.75
PunitiveMoodAgent,11725.0,2357.0,6975.0,2384.0,4733.0,11696.0,2380.0,8364.0,7093.0,4200.0,0.0,3527.0,11564.0,6416.5
ReluctantMoodAgent,11606.0,2487.0,6594.0,2333.0,3671.0,11623.0,2515.0,9158.0,6887.0,0.0,2395.0,3859.0,11525.0,6221.083333333333
Random,6289.0,3788.0,0.0,3784.0,3794.0,6457.0,3655.0,5002.0,5126.0,3984.0,3681.0,4836.0,6400.0,4733.0
MysteryAgent,4514.0,4020.0,5117.0,3941.0,4924.0,4432.0,4369.0,5161.0,3266.0,4162.0,3914.0,0.0,4395.0,4351.25
CompromisingAgent,0.0,4950.0,3057.0,5001.0,5028.0,1092.0,4998.0,4038.0,3090.0,4998.0,4986.0,1524.0,1062.0,3652.0
AntiPunitiveAgent,1038.0,5064.0,3063.0,4974.0,4973.0,0.0,5060.0,3945.0,3047.0,5100.0,4988.0,1525.0,983.0,3646.6666666666665
ChippingFish,1047.0,4962.0,2993.0,5067.0,4899.0,963.0,5016.0,4013.0,3072.0,4957.0,5014.0,1575.0,0.0,3631.5
