,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,FicticiousPlay,Exponential,ReluctantMoodAgent,PunitiveMoodAgent,MysteryAgent,ChippingFish,Mean Points
Exponential,10506.0,6371.0,6497.0,6266.0,6100.0,10285.0,6244.0,0.0,0.0,6373.0,6203.0,2911.0,10480.0,7112.363636363636
FishingChip,11473.0,2250.0,7154.0,2393.0,4403.0,11746.0,0.0,4662.0,7034.0,4007.0,2351.0,4366.0,11634.0,6679.363636363636
ReluctantAgent,11655.0,3243.0,6813.0,2939.0,0.0,11679.0,3022.0,4471.0,7275.0,2187.0,3031.0,5434.0,11567.0,6665.090909090909
PunitiveAgent,11704.0,2368.0,7090.0,0.0,4674.0,11597.0,2329.0,4588.0,6729.0,4247.0,2572.0,3376.0,11853.0,6647.909090909091
StubbornAgent,11627.0,0.0,7056.0,2289.0,4711.0,11557.0,2338.0,4739.0,7119.0,4025.0,2275.0,3206.0,11571.0,6592.090909090909
PunitiveMoodAgent,11711.0,2236.0,6905.0,2299.0,4703.0,11605.0,2300.0,0.0,7093.0,4197.0,0.0,3509.0,11692.0,6204.545454545455
ReluctantMoodAgent,11851.0,2296.0,7040.0,2243.0,3729.0,11637.0,2308.0,0.0,7184.0,0.0,2349.0,3809.0,11494.0,5994.545454545455
Random,6166.0,3542.0,0.0,3657.0,3828.0,6123.0,3805.0,2802.0,4254.0,3783.0,3776.0,4728.0,6611.0,4825.0
MysteryAgent,4572.0,3782.0,5266.0,3718.0,5095.0,4410.0,4046.0,0.0,3022.0,4390.0,3758.0,0.0,4306.0,4215.0
AntiPunitiveAgent,1054.0,4925.0,2930.0,4950.0,5010.0,0.0,5043.0,2020.0,3026.0,4920.0,5059.0,1579.0,1014.0,3775.4545454545455
CompromisingAgent,0.0,4974.0,3045.0,5007.0,5016.0,987.0,4950.0,2028.0,2982.0,5049.0,4977.0,1509.0,996.0,3774.5454545454545
ChippingFish,1045.0,5013.0,3119.0,4978.0,4999.0,1088.0,5046.0,0.0,3116.0,5019.0,5029.0,1589.0,0.0,3640.090909090909
FicticiousPlay,5697.0,4299.0,2159.0,4373.0,4291.0,5622.0,4343.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
