,Exponential,FicticiousPlay,Random,RockLover,BadMove,Mean Points
FicticiousPlay,27.0,0.0,14.0,2000.0,0.0,510.25
Exponential,0.0,-27.0,65.0,1995.0,0.0,508.25
Random,-65.0,-14.0,0.0,-30.0,0.0,-27.25
RockLover,-1995.0,-2000.0,30.0,0.0,0.0,-991.25
BadMove,-2002.0,-2002.0,-2002.0,-2002.0,0.0,-2002.0
