,Exponential,FicticiousPlay,Random,RockLover,BadMove,BadType,BadConnection,MathBreaker,TA,Mean Points
FicticiousPlay,-5.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,955.0,368.75
Exponential,0.0,5.0,-38.0,2002.0,0.0,0.0,0.0,0.0,967.0,367.0
Random,38.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,32.0,14.5
TA,-967.0,-955.0,-32.0,-1046.0,0.0,0.0,0.0,0.0,0.0,-375.0
RockLover,-2002.0,-2000.0,-46.0,0.0,0.0,0.0,0.0,0.0,1046.0,-375.25
BadMove,-2002.0,-2002.0,-2002.0,-2002.0,0.0,0.0,0.0,0.0,-2002.0,-1251.25
BadType,-2002.0,-2002.0,-2002.0,-2002.0,0.0,0.0,0.0,0.0,-2002.0,-1251.25
BadConnection,-2002.0,-2002.0,-2002.0,-2002.0,0.0,0.0,0.0,0.0,-2002.0,-1251.25
MathBreaker,-2002.0,-2002.0,-2002.0,-2002.0,0.0,0.0,0.0,0.0,-2002.0,-1251.25
