,Agent Name,Average Utility,Final Score
3,Shader,109.02064202574282,9.910967456885711
2,Truthful,104.28951520543907,9.48086501867628
1,Random,84.40536244100707,7.673214767364279
6,Discriminating Bidder,62.15796226007128,5.650723841824662
0,Over Bidder,-205.01449459742292,-18.63768132703845
4,Bad Bidder,Disconnected,Disconnected
5,Bad Update,Disconnected,Disconnected
