,StaticRandom,CircularHotel,DelAgent,DumbChicken,E2A,EtchAgent,Eyes,GoodBot,HiBot,Jimbus,Kamen,QQQ,Random,Spinner,Sticky,TeamPlayer,Zenly,Mean Points
E2A,77177.0,79078.0,75273.0,75799.0,0.0,76198.0,73501.0,78146.0,76482.0,75302.0,76914.0,75119.0,75043.0,74803.0,74987.0,74132.0,74742.0,75793.5
DelAgent,76244.0,77452.0,0.0,78014.0,75480.0,76593.0,72842.0,76667.0,75568.0,72434.0,76482.0,74374.0,75021.0,75643.0,74796.0,74249.0,74999.0,75428.625
Zenly,77307.0,78094.0,72214.0,76134.0,73720.0,76418.0,73172.0,76461.0,74602.0,75286.0,74785.0,73415.0,75323.0,75059.0,73875.0,72947.0,0.0,74925.75
Jimbus,76464.0,75213.0,73693.0,74176.0,73494.0,77055.0,73663.0,78046.0,74937.0,0.0,75827.0,74270.0,74889.0,75209.0,74086.0,74807.0,72939.0,74923.0
TeamPlayer,74693.0,76967.0,74101.0,75059.0,74113.0,75311.0,73254.0,75765.0,75286.0,73444.0,76676.0,73803.0,75006.0,75045.0,74630.0,0.0,72975.0,74758.0
Eyes,75493.0,73562.0,71910.0,75493.0,72639.0,74107.0,0.0,79528.0,75935.0,72596.0,75711.0,74297.0,74458.0,76488.0,74482.0,72562.0,71257.0,74407.375
DumbChicken,75669.0,72607.0,75620.0,0.0,74336.0,75176.0,72872.0,73164.0,73450.0,73469.0,72691.0,73344.0,73548.0,75065.0,74974.0,73468.0,74539.0,73999.5
Sticky,74421.0,75683.0,69304.0,72833.0,73415.0,72629.0,72862.0,78690.0,73164.0,73504.0,74094.0,73682.0,74382.0,74599.0,0.0,73392.0,72794.0,73715.5
QQQ,74312.0,74650.0,70232.0,73046.0,70750.0,73189.0,71044.0,77990.0,73787.0,70118.0,74024.0,0.0,73332.0,75952.0,72563.0,70052.0,69987.0,72814.25
EtchAgent,70882.0,69413.0,71987.0,73992.0,69966.0,0.0,72900.0,70155.0,75741.0,72476.0,75914.0,72769.0,73680.0,73821.0,73401.0,73515.0,74164.0,72798.5
StaticRandom,0.0,73295.0,71889.0,73459.0,71061.0,72129.0,72899.0,71115.0,73637.0,73358.0,72428.0,71023.0,73423.0,73423.0,71863.0,74001.0,72537.0,72596.25
CircularHotel,69196.0,0.0,73616.0,65731.0,71678.0,65263.0,73395.0,70129.0,73196.0,71672.0,71276.0,71637.0,73379.0,73236.0,71494.0,72395.0,72585.0,71242.375
Kamen,70652.0,71024.0,68726.0,69430.0,69202.0,73202.0,70775.0,74488.0,71376.0,70130.0,0.0,71792.0,72661.0,73330.0,70042.0,70370.0,70788.0,71124.25
Random,71159.0,71874.0,67551.0,71075.0,67822.0,70946.0,69576.0,75920.0,74177.0,68583.0,72198.0,71790.0,0.0,74627.0,69565.0,68417.0,67954.0,70827.125
HiBot,68089.0,71431.0,67774.0,67240.0,67609.0,73175.0,69215.0,73700.0,0.0,69720.0,69351.0,71452.0,72070.0,74250.0,68022.0,68451.0,69309.0,70053.625
Spinner,68970.0,69457.0,67106.0,67932.0,66179.0,68174.0,68396.0,73994.0,72691.0,67553.0,71268.0,70172.0,71390.0,0.0,68093.0,67428.0,67871.0,69167.125
GoodBot,63782.0,65541.0,70855.0,63871.0,67468.0,63327.0,69655.0,0.0,70822.0,66251.0,66647.0,69827.0,71058.0,71393.0,68683.0,67030.0,66434.0,67665.25
