,Agent Name,Average Utility,Final Score
4,E2A,838.2744479495268,8.299747009401255
9,Jimbus,835.4589905362776,8.271871193428492
15,TeamPlayer,834.5078864353312,8.262454321141893
2,DelAgent,834.3259842519685,8.26065330942543
16,Zenly,827.2318611987382,8.19041446731424
6,Eyes,824.3454258675079,8.161835899678296
14,Sticky,817.6246056782335,8.095293125527064
10,QQQ,811.0536277602523,8.03023393822032
5,EtchAgent,809.7744479495268,8.017568791579473
0,StaticRandom,801.9803921568628,7.9403999223451756
1,CircularHotel,801.6374622356495,7.9370045765905894
11,Kamen,794.3596214511041,7.8649467470406345
12,Random,787.6356466876972,7.79837273948215
8,HiBot,783.0615141955836,7.753084298966174
13,Spinner,771.2365930599369,7.636005871880563
7,GoodBot,754.397476340694,7.4692819439672675
3,DumbChicken,-inf,DISCONNECTED
