,Agent Name,Average Utility,Final Score
4,E2A,839.5666666666667,8.312541254125412
2,DelAgent,835.0930555555556,8.268248074807481
15,TeamPlayer,833.1333333333333,8.248844884488449
16,Zenly,829.0916666666667,8.208828382838284
9,Jimbus,828.5763888888889,8.203726622662266
14,Sticky,825.7361111111111,8.17560506050605
6,Eyes,824.9013888888888,8.167340484048404
3,DumbChicken,814.9916666666667,8.069224422442245
5,EtchAgent,814.6680555555556,8.066020352035203
0,StaticRandom,812.8055555555555,8.047579757975798
11,QQQ,808.0597222222223,8.000591309130913
1,CircularHotel,795.2166666666667,7.873432343234324
10,Kamen,794.9763888888889,7.871053355335533
12,Random,784.6875,7.7691831683168315
8,HiBot,777.0083333333333,7.693151815181518
13,Spinner,768.3236111111111,7.607164466446645
7,GoodBot,749.1638888888889,7.417464246424642
