,Agent Name,Average Utility,Final Score
2,DelAgent,840.4833333333333,8.321617161716171
4,E2A,834.2,8.259405940594059
9,Jimbus,832.3,8.240594059405941
15,TeamPlayer,830.7458333333333,8.225206270627062
16,Zenly,829.7833333333333,8.215676567656766
6,Eyes,828.3666666666667,8.2016501650165
14,Sticky,824.5027777777777,8.163393839383938
3,DumbChicken,817.3375,8.092450495049505
5,EtchAgent,813.7402777777778,8.056834433443344
11,QQQ,805.5916666666667,7.976155115511551
0,StaticRandom,803.3597222222222,7.954056655665567
1,CircularHotel,799.1847222222223,7.9127200220022
10,Kamen,793.5305555555556,7.856738173817382
12,Random,789.9611111111111,7.821397139713971
8,HiBot,773.7833333333333,7.661221122112211
13,Spinner,770.9152777777778,7.632824532453245
7,GoodBot,748.2138888888888,7.408058305830583
