,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,Mean Points
ReluctantAgent,14014.0,1500.0,6742.0,1522.0,0.0,13964.0,1500.0,6540.333333333333
StubbornAgent,14014.0,0.0,7168.0,28.0,3500.0,13958.0,14.0,6447.0
FishingChip,14014.0,6.0,7133.0,34.0,3500.0,13958.0,0.0,6440.833333333333
PunitiveAgent,14014.0,12.0,7017.0,0.0,3498.0,13970.0,26.0,6422.833333333333
AntiPunitiveAgent,56.0,5982.0,3159.0,6010.0,5996.0,0.0,5982.0,4530.833333333333
CompromisingAgent,0.0,6006.0,2940.0,6006.0,6006.0,24.0,6006.0,4498.0
Random,6860.0,3072.0,0.0,3013.0,3278.0,7331.0,3057.0,4435.166666666667
