,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,Mean Points
ReluctantAgent,14014.0,1500.0,6608.0,1522.0,0.0,13964.0,1500.0,6518.0
StubbornAgent,14014.0,0.0,7112.0,28.0,3500.0,13958.0,14.0,6437.666666666667
FishingChip,14014.0,6.0,6965.0,34.0,3500.0,13958.0,0.0,6412.833333333333
PunitiveAgent,14014.0,12.0,6887.0,0.0,3498.0,13970.0,26.0,6401.166666666667
CompromisingAgent,0.0,6006.0,3135.0,6006.0,6006.0,24.0,6006.0,4530.5
AntiPunitiveAgent,56.0,5982.0,2933.0,6010.0,5996.0,0.0,5982.0,4493.166666666667
Random,7315.0,3048.0,0.0,2963.0,3272.0,6817.0,2985.0,4400.0
