,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,Mean Points
CompromisingAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StubbornAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PunitiveAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ReluctantAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AntiPunitiveAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FishingChip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
